Product_ID,Brand,Model,Country,Price_USD,Rating,Num_Reviews,RAM_GB,Storage_GB,Battery_mAh,Camera_MP,Screen_Size_inch,Weight_g,Processor_Score,Release_Year,5G_Support,Wireless_Charging,Fast_Charging,Water_Resistant,Engagement_Score
MOB_00071,Apple,Apple X18,USA,1430.79,4.29,2824,8,512,5500.0,108.0,6.8,164.0,9,2019,0,1,1,1,99.13
MOB_00906,Sony,Sony X1,Japan,806.11,3.61,287,8,256,4500.0,48.0,6.7,,7,2020,1,1,0,1,57.75
MOB_01103,HTC,HTC Neo10,Taiwan,593.19,3.42,4338,12,512,5000.0,108.0,6.5,202.0,7,2023,1,0,0,0,97.04
MOB_00169,Samsung,Samsung Ultra12,South Korea,,3.47,2516,12,256,4000.0,48.0,6.5,184.0,9,2020,0,1,1,1,75.6
MOB_00287,OnePlus,OnePlus Neo2,China,735.17,3.93,4455,6,512,4500.0,32.0,6.3,239.0,9,2024,1,0,1,0,100.0
MOB_00528,Oppo,Oppo Pro12,China,264.55,3.28,4094,4,64,5000.0,16.0,6.3,188.0,5,2020,0,0,1,0,86.78
MOB_00903,Sony,Sony X18,Japan,920.84,3.48,1061,8,512,4500.0,200.0,6.8,162.0,9,2020,1,0,1,1,54.89
MOB_00576,Vivo,Vivo Plus16,China,291.57,3.1,1691,8,64,5000.0,48.0,6.1,231.0,5,2025,0,0,0,0,52.64
MOB_00714,Motorola,Motorola A20,USA,175.77,4.02,1203,4,32,3000.0,12.0,5.5,248.0,3,2023,0,0,0,0,66.81
MOB_00024,Apple,Apple Ultra12,USA,,4.02,392,16,1024,4500.0,200.0,6.5,189.0,9,2025,1,0,1,1,69.51
MOB_00874,Sony,Sony Pro3,Japan,858.57,4.19,1436,12,128,4500.0,64.0,6.7,225.0,8,2023,0,1,1,1,79.72
MOB_00436,Huawei,Huawei Plus11,China,785.09,3.73,3777,6,256,4000.0,48.0,6.7,172.0,9,2021,0,1,1,1,89.73
MOB_00124,Samsung,Samsung Lite16,South Korea,619.23,,2732,8,512,4500.0,,6.3,,8,2020,1,1,1,1,78.2
MOB_00044,Apple,Apple Lite18,USA,1300.38,4.57,4099,16,1024,5500.0,108.0,6.5,191.0,8,2022,1,1,1,1,100.0
MOB_00059,Apple,Apple A5,USA,1457.65,4.19,2289,16,256,5500.0,108.0,6.8,203.0,9,2022,1,1,1,1,79.9
MOB_00324,OnePlus,OnePlus Max16,China,465.57,2.42,2261,8,256,4000.0,,6.5,180.0,7,2025,1,0,1,1,58.64
MOB_00550,Vivo,Vivo Pro16,China,489.38,3.87,2059,8,64,3500.0,48.0,6.1,240.0,7,2019,1,0,1,1,80.37
MOB_00383,Google,Google Lite7,USA,923.9,4.66,4659,12,1024,,64.0,6.8,213.0,10,2024,1,1,1,1,100.0
MOB_01129,HTC,HTC Pro15,Taiwan,305.53,3.85,4887,6,256,4500.0,64.0,6.5,228.0,5,2022,1,0,1,0,100.0
MOB_00377,Google,Google M9,USA,934.41,3.81,2585,8,1024,4000.0,200.0,6.7,243.0,9,2021,1,0,1,0,88.27
MOB_01006,LG,LG Plus13,South Korea,183.08,2.56,3587,3,64,3500.0,32.0,6.3,173.0,5,2019,0,0,0,0,70.46
MOB_00429,Huawei,Huawei S3,China,896.3,3.47,383,12,128,4500.0,48.0,6.7,167.0,6,2025,1,1,1,0,58.24
MOB_00705,Motorola,Motorola Max6,USA,431.37,3.37,3042,4,128,4000.0,16.0,6.1,168.0,4,2020,0,0,1,1,79.72
MOB_00219,Xiaomi,Xiaomi A1,China,474.28,,3187,8,128,3500.0,16.0,6.3,167.0,7,2020,1,0,1,0,87.22
MOB_00345,Google,Google Ultra18,USA,724.69,4.08,4194,8,512,4500.0,108.0,6.3,198.0,7,2019,1,1,1,1,100.0
MOB_00114,Samsung,Samsung Pro6,South Korea,468.78,3.53,4751,6,128,4500.0,64.0,6.1,167.0,6,2022,1,0,1,1,95.07
MOB_01156,HTC,HTC Pro8,Taiwan,427.21,3.37,2307,6,256,4000.0,64.0,6.1,211.0,7,2021,0,0,1,1,82.6
MOB_00991,Asus,Asus Max5,Taiwan,444.22,3.11,2759,8,64,4500.0,16.0,6.1,172.0,7,2025,1,0,1,1,67.34
MOB_00052,Apple,Apple Plus14,USA,1075.93,4.06,3769,8,256,5000.0,108.0,6.8,159.0,10,2020,1,1,1,1,94.58
MOB_00482,Oppo,Oppo Ultra7,China,457.38,3.58,232,6,128,3500.0,64.0,6.5,190.0,7,2023,1,0,1,1,59.57
MOB_00846,Sony,Sony Plus10,Japan,545.98,4.03,3165,6,128,4500.0,64.0,6.7,230.0,7,2024,1,1,1,1,89.73
MOB_01059,LG,LG A2,South Korea,479.13,3.41,1192,8,64,4500.0,32.0,6.5,176.0,7,2019,1,0,1,1,58.1
MOB_00495,Oppo,Oppo S16,China,350.44,3.41,2648,4,128,4000.0,32.0,6.3,248.0,7,2025,0,0,1,0,77.76
MOB_00859,Sony,Sony A16,Japan,618.02,3.93,4681,8,128,4000.0,64.0,6.7,226.0,9,2025,0,1,1,1,100.0
MOB_01081,LG,LG Lite10,South Korea,642.32,3.36,2811,12,512,5000.0,48.0,6.5,161.0,9,2021,1,1,0,1,79.74
MOB_00423,Huawei,Huawei Plus5,China,376.62,3.57,3245,4,128,4000.0,48.0,6.5,163.0,6,2022,0,0,1,0,88.46
MOB_00922,Sony,Sony S17,Japan,807.2,3.58,3787,6,512,4500.0,48.0,6.7,150.0,8,2025,1,0,1,1,92.03
MOB_00055,Apple,Apple Ultra16,USA,1460.63,4.3,4301,16,512,4000.0,64.0,6.7,233.0,9,2021,0,1,1,1,100.0
MOB_00715,Motorola,Motorola Plus20,USA,425.7,3.41,3001,6,128,4000.0,48.0,6.3,229.0,7,2019,1,0,1,1,79.78
MOB_01023,LG,LG Lite10,South Korea,406.53,3.17,3544,8,128,5000.0,48.0,6.1,,6,2024,1,0,0,1,88.6
MOB_00944,Asus,Asus M14,Taiwan,306.49,3.18,551,8,64,4000.0,64.0,6.1,226.0,5,2025,1,0,1,0,55.33
MOB_00057,Apple,Apple Lite18,USA,901.92,,494,8,512,4000.0,200.0,6.7,174.0,10,2021,1,1,1,0,80.56
MOB_00087,Apple,Apple A10,USA,1054.49,4.17,1815,12,512,5500.0,200.0,6.7,,10,2019,1,0,1,1,82.41
MOB_00486,Oppo,Oppo X19,China,640.45,3.85,4139,12,512,5000.0,48.0,6.7,177.0,9,2021,1,1,1,1,95.73
MOB_00266,OnePlus,OnePlus A19,China,705.66,4.06,4048,8,512,4000.0,48.0,6.5,164.0,9,2022,0,0,1,1,93.07
MOB_00597,Vivo,Vivo Max15,China,589.11,3.56,4995,8,256,5000.0,108.0,6.3,223.0,8,2023,1,1,1,0,100.0
MOB_01172,HTC,HTC Ultra9,Taiwan,458.98,3.7,4214,8,64,4000.0,32.0,6.1,227.0,4,2020,1,0,0,1,95.01
MOB_00185,Samsung,Samsung X4,South Korea,922.22,4.24,4499,12,1024,4000.0,,6.7,,10,2025,1,1,1,0,100.0
MOB_00421,Huawei,Huawei S4,China,203.7,3.18,624,6,64,4500.0,32.0,6.0,219.0,3,2019,0,0,1,0,57.31
MOB_01004,LG,LG M12,South Korea,438.53,3.5,3317,6,128,,48.0,6.3,167.0,5,2020,1,0,1,0,81.58
MOB_00644,Realme,Realme Pro12,China,198.15,2.47,1836,6,64,4000.0,12.0,5.5,245.0,3,2024,0,0,0,0,57.95
MOB_00295,OnePlus,OnePlus A4,China,402.42,3.83,1150,4,64,5000.0,48.0,6.3,236.0,6,2022,1,0,1,1,64.67
MOB_00754,Motorola,Motorola Neo18,USA,521.54,4.08,135,12,128,,48.0,6.3,167.0,6,2021,1,1,1,0,67.33
MOB_00199,Xiaomi,Xiaomi Max16,China,400.83,2.81,2642,4,128,3500.0,16.0,6.3,166.0,7,2025,1,0,1,1,75.34
MOB_00363,Google,Google Ultra11,USA,827.38,3.87,3000,6,128,4500.0,64.0,6.7,163.0,6,2021,1,1,1,1,87.13
MOB_00702,Motorola,Motorola Max4,USA,388.94,3.97,3013,8,256,4000.0,16.0,6.1,150.0,5,2025,0,0,1,0,93.27
MOB_01032,LG,LG S9,South Korea,517.46,3.96,3466,8,128,4000.0,,6.5,181.0,7,2021,1,1,1,1,93.54
MOB_00248,Xiaomi,Xiaomi Lite11,China,154.78,3.81,935,6,64,4000.0,16.0,6.3,,2,2021,0,0,0,0,69.19
MOB_00193,Samsung,Samsung X3,South Korea,1261.87,3.9,3096,12,256,5000.0,108.0,6.5,235.0,10,2020,0,1,1,1,90.21
MOB_00707,Motorola,Motorola Max9,USA,475.57,3.68,3771,8,64,3500.0,64.0,6.3,220.0,6,2023,1,0,1,1,100.0
MOB_00454,Huawei,Huawei Ultra18,China,,3.26,500,6,256,4500.0,32.0,6.5,227.0,7,2023,1,1,1,0,57.63
MOB_00362,Google,Google Pro15,USA,741.51,3.26,4825,12,128,5000.0,32.0,6.5,234.0,6,2021,0,0,1,1,100.0
MOB_01064,LG,LG Neo12,South Korea,373.06,3.03,4880,6,64,4500.0,64.0,6.5,211.0,4,2024,1,0,0,0,99.82
MOB_00582,Vivo,Vivo Pro20,China,,3.24,1603,12,128,4000.0,48.0,6.3,174.0,9,2024,1,1,1,0,56.4
MOB_01031,LG,LG Max12,South Korea,370.08,3.84,1110,6,256,5000.0,16.0,6.5,217.0,6,2021,1,0,1,0,68.01
MOB_00869,Sony,Sony Neo6,Japan,1018.3,3.78,4641,8,256,5000.0,64.0,6.7,206.0,9,2024,1,1,1,1,97.77
MOB_00746,Motorola,Motorola S6,USA,541.43,3.58,931,8,512,5000.0,,6.5,227.0,9,2022,0,1,1,1,75.8
MOB_00108,Samsung,Samsung Max3,South Korea,1108.71,4.07,2823,12,256,4000.0,108.0,6.8,,8,2025,1,1,1,1,93.07
MOB_00200,Xiaomi,Xiaomi X14,China,770.39,3.75,2197,6,128,5000.0,32.0,6.3,177.0,6,2019,1,1,1,1,84.41
MOB_01144,HTC,HTC Ultra8,Taiwan,555.9,4.11,978,6,512,5000.0,32.0,6.5,162.0,8,2025,1,1,1,0,70.17
MOB_00359,Google,Google Max12,USA,621.16,3.85,3438,8,256,4500.0,32.0,6.3,204.0,8,2021,0,1,1,1,92.88
MOB_00472,Huawei,Huawei M4,China,,4.46,911,12,256,4000.0,200.0,6.8,200.0,9,2023,1,0,1,1,75.51
MOB_00278,OnePlus,OnePlus Lite7,China,453.24,3.64,2237,6,64,3500.0,16.0,6.1,246.0,5,2021,1,0,1,0,74.91
MOB_00544,Vivo,Vivo Lite16,China,613.2,4.21,3077,6,512,4500.0,32.0,6.3,223.0,8,2019,1,0,1,1,95.11
MOB_00837,Nokia,Nokia Lite16,Finland,269.78,3.34,3642,8,256,5000.0,64.0,6.3,172.0,6,2025,0,0,0,0,81.91
MOB_00082,Apple,Apple A18,USA,1462.87,4.66,813,16,512,4000.0,48.0,6.5,205.0,8,2024,1,1,1,1,73.93
MOB_00431,Huawei,Huawei Pro18,China,650.42,3.88,1524,6,128,5000.0,32.0,6.7,241.0,9,2023,1,1,1,1,65.86
MOB_00863,Sony,Sony Pro10,Japan,730.48,3.43,4345,6,256,5000.0,48.0,6.3,241.0,9,2019,1,0,1,1,100.0
MOB_01080,LG,LG S13,South Korea,390.19,4.01,4435,6,128,5000.0,48.0,6.3,227.0,6,2021,1,0,1,0,100.0
MOB_00992,Asus,Asus Pro14,Taiwan,719.13,3.55,4723,12,512,4500.0,108.0,6.7,240.0,8,2020,1,1,1,1,100.0
MOB_00950,Asus,Asus Max1,Taiwan,661.83,4.02,1239,8,128,4500.0,108.0,6.5,224.0,6,2024,1,1,0,0,71.21
MOB_00839,Nokia,Nokia S8,Finland,217.77,3.69,2383,4,128,4000.0,8.0,6.0,171.0,2,2021,0,0,1,0,86.79
MOB_00728,Motorola,Motorola Plus12,USA,461.14,3.73,1840,6,64,5000.0,16.0,6.1,245.0,5,2022,1,0,1,1,65.55
MOB_00267,OnePlus,OnePlus M2,China,761.89,3.77,2086,6,512,4500.0,32.0,6.5,211.0,8,2024,1,1,1,1,71.35
MOB_00148,Samsung,Samsung X20,South Korea,1376.34,4.34,2077,12,1024,5500.0,200.0,6.5,208.0,9,2020,1,1,1,0,82.41
MOB_01164,HTC,HTC S7,Taiwan,602.71,3.36,3949,12,512,5000.0,48.0,6.3,238.0,8,2023,0,1,1,1,87.95
MOB_00211,Xiaomi,Xiaomi X5,China,748.83,4.62,745,12,256,5000.0,64.0,6.5,224.0,6,2023,0,1,0,1,85.53
MOB_00925,Asus,Asus Max6,Taiwan,651.25,4.19,2508,8,512,4500.0,32.0,6.7,228.0,7,2023,1,1,1,1,90.07
MOB_00909,Sony,Sony S13,Japan,1092.8,3.34,2055,8,512,4000.0,108.0,6.5,209.0,10,2019,0,0,1,1,67.05
MOB_00529,Oppo,Oppo Neo12,China,640.45,3.79,311,8,512,4000.0,48.0,6.7,,8,2022,0,0,1,1,65.82
MOB_00391,Google,Google Pro19,USA,693.79,3.87,4918,12,128,4000.0,64.0,6.3,161.0,8,2022,1,0,1,1,100.0
MOB_01028,LG,LG S13,South Korea,248.18,2.66,3918,3,32,3000.0,8.0,6.0,169.0,4,2021,0,0,1,0,74.98
MOB_00428,Huawei,Huawei X6,China,320.8,4.07,423,8,256,4000.0,48.0,6.1,225.0,5,2021,0,0,1,0,62.43
MOB_00960,Asus,Asus Lite4,Taiwan,610.37,3.73,1010,12,256,4500.0,32.0,6.7,,8,2023,0,1,1,1,63.69
MOB_00291,OnePlus,OnePlus Lite7,China,738.64,3.94,4597,12,512,4500.0,32.0,6.7,168.0,6,2019,0,1,1,1,100.0
MOB_00965,Asus,Asus X1,Taiwan,702.94,4.24,376,6,128,4500.0,108.0,6.5,194.0,9,2025,1,1,0,1,77.15
MOB_00241,Xiaomi,Xiaomi Ultra8,China,728.22,3.75,3942,8,512,4000.0,32.0,6.7,184.0,8,2019,1,1,1,1,90.89
MOB_00970,Asus,Asus X4,Taiwan,829.74,4.23,814,12,128,4500.0,32.0,6.3,161.0,9,2025,1,1,1,1,72.08
MOB_00320,OnePlus,OnePlus M9,China,,3.28,104,6,128,,108.0,6.7,247.0,6,2025,1,1,1,1,43.76
MOB_00658,Realme,Realme Lite19,China,454.1,3.5,1870,4,128,3500.0,16.0,6.3,198.0,4,2025,1,0,1,1,64.64
MOB_01173,HTC,HTC Ultra17,Taiwan,330.57,2.64,4068,8,64,4000.0,16.0,6.3,176.0,5,2025,1,0,1,0,85.77
MOB_00406,Huawei,Huawei S3,China,777.94,3.73,4524,12,128,5000.0,64.0,6.5,223.0,8,2019,1,1,1,0,98.99
MOB_00136,Samsung,Samsung Lite11,South Korea,663.32,4.38,4558,8,128,5000.0,48.0,6.3,170.0,9,2024,1,1,1,0,100.0
MOB_00632,Realme,Realme Neo1,China,360.67,3.72,3942,8,128,4000.0,48.0,6.3,215.0,7,2024,0,0,1,0,90.62
MOB_00880,Sony,Sony Lite2,Japan,1095.63,4.84,4176,12,512,5000.0,64.0,6.7,220.0,10,2025,1,1,1,0,100.0
MOB_00808,Nokia,Nokia X18,Finland,192.57,3.13,803,4,64,3000.0,12.0,5.5,225.0,2,2020,0,0,0,0,70.95
MOB_00141,Samsung,Samsung Lite4,South Korea,791.41,3.85,2995,8,256,4500.0,32.0,6.5,238.0,7,2019,1,1,1,1,91.01
MOB_01073,LG,LG A9,South Korea,410.86,3.41,757,4,64,3500.0,16.0,6.1,223.0,5,2024,0,0,1,1,66.17
MOB_00276,OnePlus,OnePlus Max17,China,821.54,3.83,1767,12,256,5000.0,48.0,6.3,229.0,8,2024,1,1,1,1,74.34
MOB_00591,Vivo,Vivo Pro12,China,549.41,3.87,2614,8,512,4500.0,64.0,6.3,174.0,9,2025,1,1,1,1,91.15
MOB_00637,Realme,Realme Ultra3,China,428.44,3.06,3176,6,64,3500.0,48.0,6.3,233.0,7,2025,1,0,1,0,76.08
MOB_00993,Asus,Asus Ultra4,Taiwan,876.49,4.18,4966,8,256,4000.0,108.0,6.5,151.0,9,2019,1,1,1,0,100.0
MOB_00210,Xiaomi,Xiaomi Ultra2,China,643.3,4.27,1730,8,512,5000.0,64.0,6.3,217.0,7,2022,1,0,1,1,81.69
MOB_00507,Oppo,Oppo S9,China,356.51,4.33,3654,4,128,5000.0,32.0,6.5,156.0,5,2020,0,0,1,0,98.04
MOB_00941,Asus,Asus Ultra17,Taiwan,939.3,4.59,1035,16,1024,4000.0,64.0,6.5,212.0,10,2023,1,1,1,0,87.28
MOB_00334,OnePlus,OnePlus X18,China,543.38,3.7,2504,12,128,5000.0,108.0,6.5,151.0,9,2025,1,0,0,1,88.06
MOB_00171,Samsung,Samsung S19,South Korea,668.21,3.47,4991,12,512,4000.0,64.0,6.5,238.0,7,2022,1,1,1,0,100.0
MOB_00399,Huawei,Huawei M4,China,939.37,4.18,4933,16,1024,5500.0,48.0,6.8,209.0,9,2023,0,1,1,1,100.0
MOB_01123,HTC,HTC S5,Taiwan,597.13,4.45,3828,8,512,4500.0,48.0,6.3,169.0,7,2019,0,1,1,0,100.0
MOB_00244,Xiaomi,Xiaomi Plus12,China,312.17,3.24,3067,6,64,4500.0,32.0,6.3,209.0,7,2024,1,0,1,0,73.86
MOB_00736,Motorola,Motorola Ultra5,USA,408.13,3.98,3248,6,64,5000.0,32.0,6.5,,5,2022,1,0,1,1,89.13
MOB_00164,Samsung,Samsung Max3,South Korea,458.61,3.96,4669,8,128,3500.0,,6.1,180.0,7,2024,1,0,1,1,100.0
MOB_00782,Nokia,Nokia Lite2,Finland,386.4,2.53,4804,6,64,4000.0,,6.1,215.0,6,2020,1,0,1,0,90.41
MOB_00945,Asus,Asus Lite20,Taiwan,876.28,3.61,1537,8,128,4000.0,48.0,6.7,196.0,6,2025,0,1,1,1,69.45
MOB_00157,Samsung,Samsung Max5,South Korea,662.85,4.13,2815,8,512,4000.0,108.0,6.7,182.0,9,2024,1,1,1,1,94.17
MOB_01178,HTC,HTC X12,Taiwan,510.83,4.28,4204,6,256,4500.0,108.0,6.3,205.0,9,2019,0,0,1,1,100.0
MOB_00919,Sony,Sony A9,Japan,712.64,3.34,1546,12,128,4000.0,64.0,6.7,238.0,7,2020,1,1,0,1,66.1
MOB_00459,Huawei,Huawei S4,China,753.87,4.04,4631,6,256,5000.0,64.0,6.5,244.0,9,2020,0,0,1,1,100.0
MOB_00949,Asus,Asus M17,Taiwan,761.45,3.7,912,12,128,5000.0,108.0,6.5,181.0,7,2021,0,1,1,1,72.61
MOB_00740,Motorola,Motorola S12,USA,155.47,2.85,2196,6,32,3000.0,12.0,6.0,173.0,2,2019,0,0,0,0,62.52
MOB_00443,Huawei,Huawei Pro4,China,,4.07,713,8,512,5000.0,48.0,6.7,229.0,8,2024,1,1,1,1,77.41
MOB_00951,Asus,Asus M13,Taiwan,400.07,3.78,145,4,64,4000.0,64.0,6.3,223.0,7,2022,1,0,1,1,56.48
MOB_00197,Xiaomi,Xiaomi Plus18,China,241.01,2.67,2626,3,128,4500.0,16.0,6.0,167.0,3,2021,0,0,1,0,75.47
MOB_00193,Samsung,Samsung X3,South Korea,1261.87,3.9,3096,12,256,5000.0,108.0,6.5,235.0,10,2020,0,1,1,1,90.21
MOB_00466,Huawei,Huawei S4,China,1181.11,3.98,4017,12,1024,4000.0,48.0,6.5,246.0,9,2019,0,0,1,1,100.0
MOB_00847,Sony,Sony S11,Japan,867.58,4.15,3990,8,512,4500.0,64.0,6.7,187.0,6,2020,0,1,1,0,95.42
MOB_00756,Motorola,Motorola M16,USA,391.73,,3435,4,64,4500.0,32.0,6.5,231.0,7,2024,0,0,1,0,78.98
MOB_00701,Motorola,Motorola X17,USA,496.75,3.08,4550,6,64,4000.0,64.0,6.3,213.0,7,2023,1,0,1,0,94.38
MOB_00971,Asus,Asus Plus8,Taiwan,891.51,3.92,1891,12,256,5000.0,32.0,6.5,206.0,6,2020,1,1,1,1,75.75
MOB_01030,LG,LG Lite6,South Korea,774.94,3.91,2420,6,256,5000.0,108.0,6.7,168.0,7,2023,1,1,1,0,83.82
MOB_01036,LG,LG Lite8,South Korea,659.39,4.19,1591,8,256,4500.0,48.0,6.7,226.0,6,2021,1,1,1,1,84.94
MOB_01070,LG,LG M16,South Korea,779.57,,96,6,128,4500.0,108.0,6.3,199.0,7,2025,1,1,1,1,43.12
MOB_00097,Apple,Apple A3,USA,765.2,,3260,12,128,4500.0,64.0,6.7,166.0,6,2021,1,1,1,0,84.72
MOB_00603,Vivo,Vivo Max6,China,495.04,3.52,4542,6,128,,16.0,6.1,234.0,5,2024,1,0,1,1,98.42
MOB_00831,Nokia,Nokia Lite11,Finland,262.19,4.03,4840,4,256,4000.0,64.0,6.5,235.0,5,2023,0,0,1,0,100.0
